#Records Breached,#Total Records,% Record Breach,Show Data By Calc,City,Company,Date Made Public,Description of incident,Information Source,Location,Number of Records,Records Breached,Source URL,State,Total Records,Type of breach,Type of organization
1407,,,Statewise Representation,Miami,Jackson Health System,5/29/2013,"A box that contained patient medical records was determined to have been missing since January.  Patient medical diagnoses, surgical procedures, and other personal health information may have been exposed. The missing records were either on their way to be electronically scanned or returning from being scanned.",Media,"Miami, Florida",1,"1,407 (No SSNs or financial information reported)",,Florida,Unknown,PHYS,MED
,,,Statewise Representation,Sacramento,California Department of Developmental Services,5/30/2013,Stacks of patient and billing records were left in an unsecured and abandoned office in March of 2012. Credit card and Social Security numbers may have been exposed.,Media,"Sacramento, California",1,Unknown,,California,Unknown,PHYS,MED
18100,18100,100,Statewise Representation,Santa Monica,California Department of Developmental Services,5/30/2013,"An employee at North Los Angeles County Regional Center left a work laptop, a personal laptop, and an iPhone in their car overnight. The items were stolen during the night.  The employee worked for a program that served disabled infants and toddlers.  Names, Social Security numbers, and other personal information were on the unencrypted work laptop.  The theft occurred in November and patients were notified in January of 2013. ",Media,"Santa Monica, California",1,"18,100",,California,"18,100",PORT,MED
5000,5000,100,Statewise Representation,Newport News,"Bon Secours Hampton Roads Health System, Bon Secours Mary Immaculate Hospital",5/31/2013,"An April 2013 audit revealed that a patient's medical record had been accessed in a way that was inconsistent with hospital policy.  A further investigation revealed that two team members of the patient care team had accessed the records of multiple patients in ways that were inconsistent with their job function.  The employees were fired.   Patient names, dates and times of service, provider and facility names, Social Security numbers, internal hospital medical records and account numbers, dates of birth, diagnosis, medications, vital signs, and other treatment information may have been accessed.",PHIPrivacy.net,"Newport News, Virginia",1,"5,000",,Virginia,"5,000",INSD,MED
2400,2400,100,Statewise Representation,Brooklyn,University Dental Associates,5/31/2013,"The November 21 office theft of a laptop resulted in the exposure of patient information.  Names, Social Security numbers, dates of birth, addresses, and billing codes were on the laptop.",PHIPrivacy.net,"Brooklyn, New York",1,"2,400",,New York,"2,400",PORT,MED
111,,,Statewise Representation,Frisko,Health Information Trust Alliance,6/3/2013,"A hacking incident resulted in the exposure of 111 records.  Names, phone numbers, addresses, email addresses, and company names were exposed.",Media,"Frisko, Texas",1,111 (No SSNs or financial information reported),,Texas,Unknown,HACK,MED
13806,13806,100,Statewise Representation,Rochester,"Office of Dr. Lee D. Pollan, DMD, PC.",6/3/2013,"The theft of the doctor's laptop may have exposed patient information.  The theft occurred sometime between November 6, 2012 and November 15, 2012.  Information related to patient names, dates of birth, addresses, Social Security numbers, diagnose and surgery billing codes, dates of service, and person responsible for the billing was on the laptop.  ",PHIPrivacy.net,"Rochester, New York",1,"13,806",,New York,"13,806",PORT,MED
1566,,,Statewise Representation,Monterey Park,"SynerMed, Inland Valleys IPA, Inland Empire Health Plan",6/6/2013,"The theft of an employee's laptop resulted in the exposure of patient information.  The theft occurred on the night of April 14 or the early morning of April 15 when a thief broke into the employee's automobile.  The laptop was password-protected and reported missing on the morning of the April 15.  The laptop's access to the SynerMed systems was eliminated on the morning of April 15 and the laptop contained member names, membership numbers, member addresses, CPT Codes, Diagnosis Codes, and dates of birth.UPDATE (06/07/2013): The laptop belonged to a group of independent California physicians managed by SynerMed, Inc. called Inland Valleys IPA.UPDATE (06/17/2013): There were no Social Security numbers on the laptop.UPDATE (06/21/2013): A total of 1,566 people were affected.UPDATE (07/01/2013): A total of 3,164 patients were affected.",California Attorney General,"Monterey Park, California",1,"1,566 (No SSNs or financial information reported)",,California,Unknown,PORT,MED
4500,4500,100,Statewise Representation,Sacramento,"Sutter Health East Bay Region: Alta Bates Summit Medical Center, Sutter Delta Medical Center, Eden Medical Center",6/6/2013,"Patients who visited Sutter Health's Alta Bates Summit Medical Center, Sutter Delta Medical Center, or Eden Medical Center may have had their names, Social Security numbers, dates of birth, gender, addresses, zip codes, home phone numbers, marital status, names of employers, and work phone numbers exposed.  The Alameda County Sheriff's office notified Sutter Health of the potential breach on May 23.  It is unclear what the source of the breach might be.UPDATE (06/10/2013): The information was found during a narcotics raid.  The personal information of nearly 4,500 patients was discovered.UPDATE (07/29/2013): Nelson Family of Companies, a staffing firm, was also involved.",California Attorney General,"Sacramento, California",1,"4,500",,California,"4,500",UNKN,MED
1911,1911,100,Statewise Representation,Heber Springs,Health Resources of Arkansas,6/9/2013,"On April 14, 2013 staff members discovered that their location had been burglarized.  Names, Social Security numbers, addresses, dates of birth, diagnosis information, types of treatments, classes attended, court information, services provided, or insurance information of persons served by the location could have been accessed during the burglary.  Notifications were sent during the week of May 20. ",HHS via PHIPrivacy.net,"Heber Springs, Arkansas",1,"1,911",,Arkansas,"1,911",PHYS,MED
75,75,100,Statewise Representation,Abingdon,Emmorton Associates,6/9/2013,"A counselor's file cabinet was burglarized sometime between December 10 and December 21.  It contained client files with names, Social Security numbers, dates of birth, addresses, telephone numbers, diagnosis, treatment information, insurance information, and emergency contact information.",PHIPrivacy.net,"Abingdon, Maryland",1,75,,Maryland,75,PHYS,MED
500,,,Statewise Representation,Norwood,City of Norwood,6/9/2013,A laptop that contained protected health information was lost between the dates of April 4 and April 19.  ,HHS via PHIPrivacy.net,"Norwood, Ohio",1,500 (No SSNs or financial information reported),,Ohio,Unknown,PORT,MED
,,,Statewise Representation,Takoma Park,"Office of Kara Falck, Other World Computing",6/9/2013,"A hard drive from the therapy service was purchased and then returned to Other World Computing.  A doctor in Germany later contacted the therapy service and confirmed that he had received the hard drive.  Client information, progress notes, and billing notes could be found on the hard drive though the doctor had believed he was purchasing a new or refurbished hard drive.  Other World Computing or the hard drive's manufacturer failed to clear the hard drive before it was resold.  The hard drive was resold to its original owner in order to safeguard the therapeutic client information.",PHIPrivacy.net,"Takoma Park, Maryland",1,Unknown,,Maryland,Unknown,PORT,MED
,,,Statewise Representation,Burlington,Laboratory Corporation of America (LabCorp),6/9/2013,"The theft of a computer that was scheduled to be destroyed may have exposed patient names, birthdates, and Medicare subscriber numbers.",PHIPrivacy.net,"Burlington, North Carolina",1,Unknown,,North Carolina,Unknown,STAT,MED
539,,,Statewise Representation,,"Integrity Oncology, Baptist Medical Group, North Atlantic Telecom",6/9/2013,Integrity Oncology's business associate North Atlantic Telecom discovered a breach incident on March 5.  ,HHS via PHIPrivacy.net,", Tennessee",1,539 (No SSNs or financial information reported),,Tennessee,Unknown,UNKN,MED
2434,,,Statewise Representation,New York,Independence Care System,6/10/2013,"The May 7 home burglary of an employee's home resulted in the theft of a laptop that contained patient information.  Fewer than 60% of the affected members had their names, zip codes, and Independence Care System (ICS) Member ID numbers exposed.  Approximately 40% of those affected also had their street address, phone number, Medicaid ID number, and enrollment and/or disenrollment date exposed.  ICS plans to implement a two-factor authentication system for network access by September of 2013 to prevent the issued from occurring again.",PHIPrivacy.net,"New York, New York",1,"2,434 (No SSNs or financial information involved)",,New York,Unknown,PORT,MED
710,710,100,Statewise Representation,Pembroke Pines,"South Florida State Hospital, GEO Care LLC",6/11/2013,"A dishonest employee and his cousin pleaded not guilty to charges of conspiracy to commit identity theft, conspiracy to disclose individuals' health information, access device fraud, wrongful disclosure of health information, and aggravated identity theft.  The men are accused of stealing the names and Social Security numbers of patients to file fraudulent income tax returns between September of 2012 and April of 2013.UPDATE (08/28/2013): A total of 710 patients were affected by the breach on April 16.",PHIPrivacy.net,"Pembroke Pines, Florida",1,710,,Florida,710,INSD,MED
,,,Statewise Representation,Virginia Beach,Sentara Virginia Beach General Hospital,6/12/2013,Two men claimed to be from a recycling company and stole over 200 pounds of x-ray film that contained sensitive patient information.  The men transported the x-rays from the hospital without incident by using a moving truck. The breach occurred in 2012 and affected less than 500 patients.,Databreaches.net,"Virginia Beach, Virginia",1,Unknown,,Virginia,Unknown,PHYS,MED
12900,,,Statewise Representation,Palo Alto,Lucile Packard Children's Hospital,6/12/2013,"Between May 2 and May 8, a non-functional laptop computer was stolen from a secured area of the hospital.  The laptop was password protected and contained names, ages, medical record numbers, telephone numbers, scheduled surgical procedures, and names of physicians involved in procedures between 2009 and 2012.  ",PHIPrivacy.net,"Palo Alto, California",1,"12,900 (No SSNs or financial information reported)",,California,Unknown,PORT,MED
3300,,,Statewise Representation,,Florida Department of Health,6/14/2013,"Information on personal drug prescriptions from the Florida Department of Health somehow ended up in the hands of prosecution lawyers.  Names, addresses, phone numbers, pharmacies, and drug dosages were obtained by lawyers involved in six prescription-drug fraud cases. The American Civil Liberties Union of Florida began an investigation into how the records were exposed.",Media,,1,"3,300 (No Social Security Numbers reported)",,,Unknown,DISC,MED
1093,1093,100,Statewise Representation,Fayetteville,Fayetteville Veterans Affairs Medical Center,6/14/2013,"Optical shop consultation reports were placed in a publicly accessible recycling bin over a period of three months rather than properly disposed.  The documents contained names, Social Security numbers, addresses, dates of birth, and prescriptions.  The issue was discovered on April 17 and most likely started in January of 2013.",PHIPrivacy.net,"Fayetteville, North Carolina",1,"1,093",,North Carolina,"1,093",PHYS,MED
,,,Statewise Representation,Ephrata,Ephrata Community Hospital,6/19/2013,An employee inappropriately accessed patient information.  The incident or incidents were discovered on April 16. Patient clinical and other medical information may have been exposed. No Social Security numbers were exposed.,Media,"Ephrata, Pennsylvania",1,Unknown,,Pennsylvania,Unknown,INSD,MED
6500,6500,100,Statewise Representation,Indianapolis,Comfort Dental,6/20/2013,"Nearly 7,000 patient records were found in a publicly accessible dumpster.  A local news team investigated the breach and found the names, Social Security numbers, addresses, phone numbers, dates of birth, X-rays, dental information, credit card numbers, medical histories, and other sensitive information of Comfort Dental patients.  Comfort Dental patients who were seen at offices in Marion, Indiana and Kokomo, Indiana may have been affected.  The news team reported the issue around March 18, 2013 and removed the records.",PHIPrivacy.net,"Indianapolis, Indiana",1,"6,500",,Indiana,"6,500",PHYS,MED
,,,Statewise Representation,Gulf Breeze,Gulf Breeze Family Eyecare (Sight and Sun Eyeworks Gulf Breeze),6/21/2013,"Sight and Sun learned of a patient privacy breach on May 17.  Patient names, Social Security numbers, addresses, medical record numbers, and other personal information may have been exposed.  An employee accessed and copied patients' electronic medical records without legitimate purpose.UDPATE (06/26/2013): A total of 9,000 patients were affected.  It appears that the records were accessed to target patients for other medical service offerings.",Media,"Gulf Breeze, Florida",1,Unknown,,Florida,Unknown,INSD,MED
1000,1000,100,Statewise Representation,Lincoln City,North Lincoln Community Health Center Clinic,6/21/2013,"An April 17 burglary resulted in the possible exposure of patient information.  Someone entered locked rooms and cabinets in order to take money.  No records or electronic devices were taken; however the room where client medical charts were stored was accessed.  Social Security numbers, health information, and other personal information may have been exposed.",PHIPrivacy.net,"Lincoln City, Oregon",1,"1,000",,Oregon,"1,000",PHYS,MED
,,,Statewise Representation,Miami,"Baptist Health South Florida, West Kendall Baptist Hospital",6/25/2013,"An employee of West Kendall Baptist Hospital sold patient information to a man who used the information to file fraudulent tax returns.  Patients may have had their names, Social Security numbers, and dates of birth exposed.  The man who purchased and used the information was sentenced to 31 months in federal prison after pleading guilty to possessing 15 or more Social Security numbers.",PHIPrivacy.net,"Miami, Florida",1,Unknown,,Florida,Unknown,INSD,MED
5690,5690,100,Statewise Representation,Nashville,"Foundations Recovery Network, Sebastopol Sea Serpents",6/25/2013,"The June 15 theft of an employee's laptop resulted in the exposure of patient information.  Names, Social Security numbers, dates of birth, addresses, medical information, and telephone numbers were on the laptop.UPDATE (08/28/2013): A total of 5,690 patients were affected by the breach.UPDATE (11/25/2013): Level of care, dates of service, health insurance information, and other medical information were also on the laptop.",PHIPrivacy.net,"Nashville, Tennessee",1,"5,690",,Tennessee,"5,690",PORT,MED
7335,,,Statewise Representation,Des Moines,Iowa Department of Health Services,6/26/2013,"Former patients of the Mental health Institute in Independence, Iowa and state employees may have had their confidential information exposed.  A backup tape was found to have been missing as of April 30.  Officials of Iowa Department of Human Services believe the tape was accidentally discarded or destroyed.  UPDATE (06/27/2013): The tape contained the information of 7,300 patients and 700 employees. Only patients who were admitted after June of 2010 were affected.",PHIPrivacy.net,"Des Moines, Iowa",1,"7,335 (No Social Security numbers or financial information reported)",,Iowa,Unknown,PORT,MED
1127,,,Statewise Representation,Kansas City,Union Security Insurance Company,7/1/2013,A breach that occurred on May 17 may have exposed protected health information.  It involved email and/or the improper disposal of records.,HHS via PHIPrivacy.net,"Kansas City, Missouri",1,"1,127 (No Social Security numbers or financial information reported)",,Missouri,Unknown,UNKN,MED
,,,Statewise Representation,Suwanee,"Health Net, CalViva Health",7/2/2013,"A number of member identification cards were mailed to incorrect addresses.  The problem occurred because of a programming error.  The member identification cards contained names, dates of enrollment, addresses, telephone numbers of primary care physicians, issue dates of cards, and Medi-Cal client identification numbers.  ",California Attorney General,"Suwanee, Georgia",1,Unknown,,Georgia,Unknown,DISC,MED
,,,Statewise Representation,Indianapolis,Advantage Health Solutions,7/2/2013,"A patient discovered that he could see the information of other users by logging into his Advantage Health Solutions account.  Any patients who put in a name or date of birth other than their own were able to see the records of people with those names or dates of birth.  Names, phone numbers, addresses, primary care physicians, medical bills, types of medications, and other medical information were exposed.",PHIPrivacy.net,"Indianapolis, Indiana",1,Unknown,,Indiana,Unknown,DISC,MED
,,,Statewise Representation,Springfield,Behavioral Health Network,7/4/2013,A concerned citizen found medical records in a publicly accessible dumpster.  Behavioral Health Network has a shredding vendor and did not have an explanation for the breach.  Behavioral Health Network picked up the remaining files.,PHIPrivacy.net,"Springfield, Massachusetts",1,Unknown,,Massachusetts,Unknown,PHYS,MED
2462,,,Statewise Representation,Dallas,Children's Medical Center of Dallas,7/10/2013,"As reported by Health and Human Services theft/laptop. No specific information as to what information was   compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_reportUPDATE (2/3/2017): ""Children's Health has paid an almost $3.2 million federal penalty after a multiyear investigation into patient data privacy breaches.Scott Summerall, a spokesman for the health system, said Thursday that the Children's Medical Center of Dallas self-reported the breaches that were part of the federal investigation. He said hospital administrators don't think the stolen data has been used in a way that has negatively affected patients.""We have also enacted many levels of protection across our variety of devices. We train our colleagues on the importance of protecting patient information, and the methods by which they do so,"" he wrote in an emailed response to questions from The Associated Press.The U.S. Department of Health and Human Services Office for Civil Rights said Wednesday that the finding against the hospital was the result of ""impermissible disclosure of unsecured"" health information. The hospital self-reported the loss of three devices, two of which contained patient data.""More information:http://www.nbcdfw.com/news/health/Childrens-Health-Pays-3M-Fine-Over-Pat...",Government Agency,"Dallas, Texas",1,"2,462",,Texas,Unknown,PORT,MED
277000,,,Statewise Representation,Fort Worth,"Texas Health Harris Methodist Hospital Fort Worth, Shred-it",7/11/2013,"A concerned citizen alerted police to a situation on May 11.  Old microfiche records were discovered in a park even though they should have been destroyed by the Hospital's contractor Shred-it.  The records contained names, addresses, dates of birth, and health information and were from 1980 to 1990. Some records also contained Social Security numbers.  ",Media,"Fort Worth, Texas",1,"277,000 (Unknown number of SSNs)",,Texas,Unknown,PHYS,MED
2864,,,Statewise Representation,Long Beach,Long Beach Memorial Medical Center,7/12/2013,"Patients who received treatment between September 2012 to June 2013 may have had their information exposed by a breach related to an employee.  Names, sex, dates of birth, home addresses, phone numbers, account numbers, insurance information, and the reason for admission were exposed.  There is currently no reason to believe that the information was used in a malicious manner.",Media,"Long Beach, California",1,"2,864 (No SSNs reported)",,California,Unknown,INSD,MED
14,,,Statewise Representation,Los Angeles,Cedars-Sinai Medical Center,7/13/2013,Five medical workers were fired for their role in a hacking effort that targeted a celebrity.  A total of 14 patient records were breached between June 18 and June 24.  The employees misused the Hospital's information system to access patient records for curiousity or media purposes.  A volunteer also participated and was barred from working at the Hospital.,Media,"Los Angeles, California",1,14 (No Social Security numbers or financial information reported),,California,Unknown,INSD,MED
,,,Statewise Representation,Prince Frederick,Calvert Internal Medicine Group,7/16/2013,"A finance department employee contacted ADP for troubleshooting and an ADP representative removed the firewall of Calvert Internal Medicine Group during the service call.  The firewall was not restored after the call and employees began receiving spam emails from the finance department employee's email account.  Malware was also detected in the spam inbox of the employee's computer.  Names, Social Security numbers, addresses, and other payroll information of current and former employees may have been exposed.",Media,"Prince Frederick, Maryland",1,Unknown,,Maryland,Unknown,DISC,MED
17743,17743,100,Statewise Representation,Albany,Office of the Medicaid Inspector General (OMIG),7/17/2013,"An OMIG employee sent an email that contained sensitive records to their own email account on October 12, 2012.  Medicaid paitient first and last names, Social Security numbers, dates of birth, and Medicaid client information numbers may have been compromised. ",Media,"Albany, New York",1,"17,743",,New York,"17,743",INSD,MED
800,800,100,Statewise Representation,San Jose,San Jose Medical Supply Company,7/18/2013,"Fraudulent activity by former employees was discovered when a new owner took over San Jose Medical Supply Company in August of 2012.  San Jose Medical Supply Company confirmed in June of 2013 that health information was exposed between August of 2011 and December of 2011.  The dishonest employees and other affiliated individuals no longer work with San Jose Medical.  Names, Social Security numbers, home addresses, dates of birth, Medi-Cal ID numbers, physician names and contact information, prescriptions, diagnosis information, type and quantity of medical supplies ordered, and disability codes were disclosed to Front Medical Supply and/or Living Medical Supply without authorization.UPDATE (07/29/2013): A total of 800 people were affected.",California Attorney General,"San Jose, California",1,800,,California,800,INSD,MED
8000,80,10000,Statewise Representation,Staten Island,"South Shore Physicians, P.C.",7/18/2013,"A dishonest nurse and three co-conspirators were linked to medical identity fraud after she posted details about the fraud on a social media account.  The ring had been active since 2004 and had brought in $675,000 over the past five years.  The nurse had been fired from South Shore Physicians after falsifying her work hours.  The co-conspirators face at least 64 counts related to fraud, falsifying records, and theft.UPDATE (10/1/2013): Notifications were sent to 8,000 patients in relation to the breach.",Media,"Staten Island, New York",1,"8,000 (80 people confirmed affected)",,New York,80,INSD,MED
10,10,100,Statewise Representation,Hudson,Regional Medical Center Bayonet Point,7/19/2013,"A patient received the information of other patients in a mailing.  Names, patient records, and Social Security numbers were exposed.  ",PHIPrivacy.net,"Hudson, Florida",1,Unknown (10 confirmed),,Florida,10,DISC,MED
15417,,,Statewise Representation,Detroit,Henry Ford Health System,7/23/2013,"A warehouse that was not owned by Henry Ford Health System was raided for old X-rays.  X-rays can be stripped for silver and these medical X-rays also contained the names, addresses, and dates of birth of patients of Henry Ford Health System.  The X-rays dated between 1996 and 2003.  Henry Ford Health System learned about the issue on May 24.",Media,"Detroit, Michigan",1,"15,417 (No SSNs or financial information reported)",,Michigan,Unknown,PHYS,MED
609,,,Statewise Representation,Durham,MED-EL Corporation,7/29/2013,An email error that occrred on June 25 resulted in the exposure of health information.,HHS via PHIPrivacy.net,"Durham, North Carolina",1,609 (No Social Security numbers or financial information reported),,North Carolina,Unknown,DISC,MED
3000,,,Statewise Representation,Portland,Oregon Health & Science University (OHSU),7/29/2013,"Patient data could have been accessed due to a storage error.  The information of patients admitted between January 2011 and July 3 of 2013 was placed on Google's cloud computing system.  The information was password-protected, but could have still been used for promotional and other purposes because OHSU does not have a contract with Google.  OSHU removed the information from the cloud.",Media,"Portland, Oregon",1,"3,000 (No SSNs or financial information reported)",,Oregon,Unknown,DISC,MED
5200,,,Statewise Representation,Jacksonville,Jacksonville Spine Center,7/29/2013,"Paper patient records were lost, stolen, or exposed during an April 25 breach.",HHS via PHIPrivacy.net,"Jacksonville, Florida",1,"5,200 (No Social Security numbers or financial information reported)",,Florida,Unknown,PHYS,MED
2203,,,Statewise Representation,Ashland,Samaritan Regional Health System,7/29/2013,An exposure of patient paper records was discovered on May 29th.,HHS via PHIPrivacy.net,"Ashland, Ohio",1,"2,203 (No Social Security numbers or financial information reported)",,Ohio,Unknown,PHYS,MED
4305,,,Statewise Representation,Fall Church,"Northrop Grumman Retiree Health Plan, CVS Caremark",7/29/2013,"A breach involving paper records from CVS Caremark affected 4,305 Northrop Grumman Retiree Health Plan enrollees.",HHS via PHIPrivacy.net,"Fall Church, Virginia",1,"4,305 (No Social Security numbers or financial information reported)",,Virginia,Unknown,PHYS,MED
900,,,Statewise Representation,Boca Raton,"South Florida Neurology Associates, P.A.",7/29/2013,The theft of a laptop resulted in the exposure of patient information.  The laptop was stolen sometime between May 25 and May 30.,HHS via PHIPrivacy.net,"Boca Raton, Florida",1,900 (No Social Security numbers or financial information reported),,Florida,Unknown,PORT,MED
1955,1955,100,Statewise Representation,Austin,Lone Star Circle of Care,7/29/2013,"The theft of a laptop from an employee's car around May 1, 2013 resulted in the exposure of patient information.  Patients who were seen between 2012 and 2013 may have had their or their childrens' names, Social Security numbers, and diagnosis information exposed.",HHS via PHIPrivacy.net,"Austin, Texas",1,"1,955",,Texas,"1,955",PORT,MED
2000,,,Statewise Representation,Falls Church,Fairfax County Public Schools,7/29/2013,"The July 15 theft of a laptop resulted in the exposure of student information.  The laptop was stolen from the car of a school nurse and contained school, health and other confidential information.  Student names, school identification numbers, allergies, and other medical conditions were on a spreadsheet on the health-department-issued laptop.",Media,"Falls Church, Virginia",1,"2,000 (No Social Security numbers or financial information reported)",,Virginia,Unknown,PORT,MED
4560,,,Statewise Representation,St. Louis,"Sheet Metal Local 36 Welfare Fund, People Resource Corporation",7/29/2013,"A data breach occured between August 1, 2012 and July 8, 2013.",HHS via PHIPrivacy.net,"St. Louis, Missouri",1,"4,560 (No Social Security numbers or financial information reported)",,Missouri,Unknown,UNKN,MED
,,,Statewise Representation,Sacramento,California Correctional Health Care Services,7/30/2013,"An employee lost dental records while outside of California Correctional Health Care Services on June 19, 2013.  The records contained patient names, CDCR numbers, dates of birth, and dental treatment plan information.",California Attorney General,"Sacramento, California",1,Unknown,,California,Unknown,PHYS,MED
532,532,100,Statewise Representation,Lone Tree,Rocky Mountain Spine Clinic,7/31/2013,An employee in the billing department was fired for sending sensitive patient information to their personal email. The incident occurred in June and it does not appear that the email was sent with malicious intent.,Media,"Lone Tree, Colorado",1,532,,Colorado,532,INSD,MED
,,,Statewise Representation,Los Angeles,South Central Los Angeles Regional Center,7/31/2013,The July 6 theft of an employee's vehicle resulted in the exposure of client information.  The stolen car contained an Ipad with client names and UCI numbers.  ,California Attorney General,"Los Angeles, California",1,Unknown,,California,Unknown,PORT,MED
1087,,,Statewise Representation,Jeffersonville,Clark Memorial Hospital,8/2/2013,"A third-party mailing error resulted in the exposure of patient health information.  Billing statements with names, dates of service, insurance information, billing information, and financial status were mailed to incorect addresses.",Media,"Jeffersonville, Indiana",1,"1,087 (No SSNs or financial information reported)",,Indiana,Unknown,DISC,MED
2764,2764,100,Statewise Representation,Fridley,Medtronic,8/2/2013,A box of training records went missing from a Medtronic facility in Minnesota.  Most of the records dated back to 2008.  People who received training in using insulin pumps or continuous glucose monitoring devices may have been affected. A limited number of patients had their Social Security numbers exposed.  Those who may have been affected were notified in early July.,PHIPrivacy.net,"Fridley, Minnesota",1,"2,764",,Minnesota,"2,764",PHYS,MED
1837,,,Statewise Representation,Sacramento,Retinal Consultants Medical Group (Vitreo-Retinal Medical Group),8/7/2013,"The theft of a laptop resulted in the exposure of patient information.  The laptop was stolen from the medical group's offices sometime between June 5 and June 6.  Patient names, dates of birth, gender, race, and medical images were exposed.  UPDATE (08/28/2013): The breach affected 1,837 patients.",Media,"Sacramento, California",1,"1,837 (No SSNs or financial information reported)",,California,Unknown,PORT,MED
32000,32000,100,Statewise Representation,Brentwood,"M2ComSys, Cogent Healthcare, Inc.",8/8/2013,"M2ComSys (M2), a medical transcription company, stored physicians' notes for Cogent Healthcare.   It was discovered that the online system that stored the notes could be accessed.  Patient care notes with names, physician names, dates of birth, diagnosis descriptions. summary of treatment, medical history, medical record numbers, and other medical information were exposed.  The notes could have been accessed on May 5, 2013 and improper access to the site ended on June 24, 2013.  M2 no longer provides services for Cogent Healthcare.UPDATE (9/17/2013): At least 32,000 patients were affected across all medical centers.  ",California Attorney General,"Brentwood, Tennessee",1,"32,000",,Tennessee,"32,000",DISC,MED
40,40,100,Statewise Representation,Philadelphia,"Resources for Human Development, Inc. (RHD)",8/11/2013,At least 40 residents of RHD had their information sold for fraudulent purposes by a dishonest RHD employee.  The former employee was part of a bank fraud conspiracy that involved fraudulent tax refunds and bank fraud.  The former employee was sentenced to three years in prison and three years of supervised release for aggravated identity theft and bank fraud.,PHIPrivacy.net,"Philadelphia, Pennsylvania",1,40,,Pennsylvania,40,INSD,MED
,,,Statewise Representation,Saint Johnsbury,Caledonia Home Health and Hospice,8/13/2013,The theft of an employee's Netbook on July 20 resulted in the exposure of patient information.  The Netbook was stolen from the employee's home and contained Social Security numbers and other protected patient information. ,Media,"Saint Johnsbury, Vermont",1,Unknown,,Vermont,Unknown,PORT,MED
49000,49000,100,Statewise Representation,Lansing,"Michigan Department of Community Health, Michigan Cancer Consortium ",8/14/2013,"A server for the Michican Cancer Consortium that housed names, Social Security numbers, dates of birth, cancer screening test results, and testing dates was hacked.  The Michigan Department of Community Health claimed that the breach should not fall under strict HIPAA regulations because testing records, rather than medical records, were affected.",Media,"Lansing, Michigan",1,"49,000",,Michigan,"49,000",HACK,MED
,,,Statewise Representation,Imperial,"California Department of Corrections and Rehabilitation, Centinela State Prison",8/16/2013,"A file containing staff names, Social Security numbers, and dates of birth was saved to a Centinela State Prison server that was accessible to all staff.  It was on the server between July 26 and July 29 before being removed.",California Attorney General,"Imperial, California",1,Unknown,,California,Unknown,DISC,MED
1001,,,Statewise Representation,Sacramento,California Correctional Health Care Services,8/16/2013,"Missing dental information was discovered to have been removed by a staff member.  Patient names, dates of birth, dental treatment plans, and other information were exposed.  Dental records may have also been taken.  The documents were first discovered missing on June 19 and had not been recovered as of August 16.UPDATE (08/28/2013): A total of 1,001 inmates were affected.",California Attorney General,"Sacramento, California",1,"1,001 (No SSNs or financial information reported)",,California,Unknown,INSD,MED
2279,2279,100,Statewise Representation,Jackson,University of Mississippi Medical Center,8/27/2013,"An employee of the University of Mississippi Medical Center accidentally attached a spreadsheet with sensitive information to an email that went out to students.  The email was sent on August 21 and the spreadsheet contained student names, Social Security numbers, GPAs, race, gender, dates of birth, mailing addresses, and phone numbers.  The breach was discovered within hours and the University used a combination of asking students to delete the email and manually removing the email from students' webmail accounts.  The email was meant to alert students to changes being made to the school's health insurance.",Media,"Jackson, Mississippi",1,"2,279",,Mississippi,"2,279",DISC,MED
28187,,,Statewise Representation,Brooklyn,"Health Plus Amerigroup, Brookdale University Hospital and Medical Center",8/28/2013,An accidental exposure of protected health information affected patients. The information was accidentally disclosed to other facilities.  The breach was reported in September of 2012.,HHS via PHIPrivacy.net,"Brooklyn, New York",1,"28,187 (No SSNs or financial information reported)",,New York,Unknown,DISC,MED
25000,25000,100,Statewise Representation,Jefferson City,"Infocrossing Inc, MO HealthNet, Missouri Department of Social Services",8/28/2013,"An error by Infocrossing, Inc. caused the personal information of a group of patients to be mailed to incorrect addresses.  The incident was discovered on June 6, 2013 and impacted correspondence sent between October 16, 2011 and June 7, 2013.  Names, dates of birth, MO HealthNet identification account numbers, county names, phone numbers, and the last four digits of Social Security numbers were exposed.UPDATE (09/23/2013): The breach was originally thought to have affected fewer than 2,000 individuals and last between 2011 and 2013.  The Missouri Department of Social Services reported that the breach began when information was sent out in December of 2009. More than 25,000 Missouri residents were affected.",PHIPrivacy.net,"Jefferson City, Missouri",1,"25,000",,Missouri,"25,000",DISC,MED
1396,,,Statewise Representation,Greenfield,Hancock OB/GYN,8/28/2013,"An employee was found to have accessed physician notes without a work-related reason.  The breach began on November 9, 2011 and lasted until June 17, 2013.  Names, dates of service, medical record numbers, clinical information were exposed.",HHS via PHIPrivacy.net,"Greenfield, Indiana",1,"1,396 (No SSNs or financial information reported)",,Indiana,Unknown,INSD,MED
2261,,,Statewise Representation,Brooklyn,"Standard Register, Brookdale University Hospital and Medical Center",8/28/2013,The exposure of patient paper records resulted in a breach that was reported in August 2012.,HHS via PHIPrivacy.net,"Brooklyn, New York",1,"2,261 (No SSNs or financial information reported)",,New York,Unknown,PHYS,MED
